SL,T,Ca
1.8994,0,0.1
1.8994,1,0.26152
1.8994,2,0.40094
1.8994,3,0.52052
1.8993,4,0.62233
1.8992,5,0.70824
1.899,6,0.77996
1.8987,7,0.83901
1.8983,8,0.8868
1.8978,9,0.92459
1.8971,10,0.95352
1.8963,11,0.97464
1.8955,12,0.98887
1.8945,13,0.99706
1.8934,14,0.99997
1.8923,15,0.99828
1.8911,16,0.99261
1.8899,17,0.98352
1.8888,18,0.97148
1.8876,19,0.95696
1.8865,20,0.94035
1.8855,21,0.922
1.8846,22,0.90222
1.8838,23,0.88131
1.883,24,0.8595
1.8824,25,0.83702
1.8818,26,0.81406
1.8814,27,0.79079
1.881,28,0.76736
1.8808,29,0.7439
1.8806,30,0.72053
1.8805,31,0.69735
1.8805,32,0.67443
1.8805,33,0.65185
1.8807,34,0.62967
1.8809,35,0.60795
1.8812,36,0.58672
1.8814,37,0.56601
1.8817,38,0.54586
1.882,39,0.52629
1.8824,40,0.5073
1.8828,41,0.48892
1.8833,42,0.47115
1.8838,43,0.45399
1.8844,44,0.43744
1.885,45,0.4215
1.8856,46,0.40616
1.8862,47,0.39141
1.8869,48,0.37725
1.8875,49,0.36366
1.8882,50,0.35064
1.8888,51,0.33816
1.8894,52,0.32621
1.8901,53,0.31479
1.8906,54,0.30387
1.8912,55,0.29344
1.8917,56,0.28348
1.8922,57,0.27398
1.8927,58,0.26492
1.8931,59,0.25629
1.8936,60,0.24806
1.8939,61,0.24023
1.8943,62,0.23278
1.8946,63,0.22569
1.895,64,0.21895
1.8952,65,0.21254
1.8955,66,0.20645
1.8958,67,0.20067
1.896,68,0.19519
1.8963,69,0.18998
1.8965,70,0.18504
1.8967,71,0.18035
1.8969,72,0.17591
1.8971,73,0.1717
1.8972,74,0.1677
1.8974,75,0.16393
1.8976,76,0.16035
1.8977,77,0.15696
1.8978,78,0.15375
1.898,79,0.15071
1.8981,80,0.14784
1.8982,81,0.14513
1.8983,82,0.14256
1.8984,83,0.14013
1.8985,84,0.13783
1.8986,85,0.13567
1.8986,86,0.13362
1.8987,87,0.13168
1.8988,88,0.12985
1.8988,89,0.12813
1.8989,90,0.1265
1.8989,91,0.12496
1.899,92,0.12351
1.899,93,0.12213
1.899,94,0.12084
1.8991,95,0.11962
1.8991,96,0.11847
1.8991,97,0.11739
1.8992,98,0.11637
1.8992,99,0.1154
1.8992,100,0.11449
1.8992,101,0.11364
1.8992,102,0.11283
1.8993,103,0.11207
1.8993,104,0.11135
1.8993,105,0.11068
1.8993,106,0.11004
1.8993,107,0.10944
1.8993,108,0.10888
1.8993,109,0.10835
1.8994,110,0.10785
1.8994,111,0.10738
1.8994,112,0.10693
1.8994,113,0.10652
1.8994,114,0.10613
1.8994,115,0.10576
1.8994,116,0.10541
1.8994,117,0.10508
1.8994,118,0.10478
1.8994,119,0.10449
1.8994,120,0.10421
1.8994,121,0.10396
1.8994,122,0.10372
1.8994,123,0.10349
1.8994,124,0.10328
1.8994,125,0.10308
1.8994,126,0.10289
1.8994,127,0.10272
1.8994,128,0.10255
1.8995,129,0.10239
1.8995,130,0.10225
1.8995,131,0.10211
1.8995,132,0.10198
1.8995,133,0.10186
1.8995,134,0.10174
1.8995,135,0.10164
1.8995,136,0.10154
1.8995,137,0.10144
1.8995,138,0.10135
1.8995,139,0.10127
1.8995,140,0.10119
1.8995,141,0.10112
1.8995,142,0.10105
1.8995,143,0.10098
1.8995,144,0.10092
1.8995,145,0.10087
1.8995,146,0.10081
1.8995,147,0.10076
1.8995,148,0.10071
1.8995,149,0.10067
1.8995,150,0.10063
1.8995,151,0.10059
1.8995,152,0.10055
1.8995,153,0.10052
1.8995,154,0.10049
1.8995,155,0.10046
1.8995,156,0.10043
1.8995,157,0.1004
1.8995,158,0.10038
1.8995,159,0.10035
1.8995,160,0.10033
1.8995,161,0.10031
1.8995,162,0.10029
1.8995,163,0.10027
1.8995,164,0.10025
1.8995,165,0.10024
1.8995,166,0.10022
1.8995,167,0.10021
1.8995,168,0.1002
1.8995,169,0.10018
1.8995,170,0.10017
1.8995,171,0.10016
1.8995,172,0.10015
1.8995,173,0.10014
1.8995,174,0.10013
1.8995,175,0.10012
1.8995,176,0.10012
1.8995,177,0.10011
1.8995,178,0.1001
1.8995,179,0.1001
1.8995,180,0.10009
1.8995,181,0.10008
1.8995,182,0.10008
1.8995,183,0.10007
1.8995,184,0.10007
1.8995,185,0.10006
1.8995,186,0.10006
1.8995,187,0.10006
1.8995,188,0.10005
1.8995,189,0.10005
1.8995,190,0.10005
1.8995,191,0.10004
1.8995,192,0.10004
1.8995,193,0.10004
1.8995,194,0.10004
1.8995,195,0.10003
1.8995,196,0.10003
1.8995,197,0.10003
1.8995,198,0.10003
1.8995,199,0.10003
1.8995,200,0.10002
1.8995,201,0.10002
1.8995,202,0.10002
1.8995,203,0.10002
1.8995,204,0.10002
1.8995,205,0.10002
1.8995,206,0.10002
1.8995,207,0.10002
1.8995,208,0.10001
1.8995,209,0.10001
1.8995,210,0.10001
1.8995,211,0.10001
1.8995,212,0.10001
1.8995,213,0.10001
1.8995,214,0.10001
1.8995,215,0.10001
1.8995,216,0.10001
1.8995,217,0.10001
1.8995,218,0.10001
1.8995,219,0.10001
1.8995,220,0.10001
1.8995,221,0.10001
1.8995,222,0.10001
1.8995,223,0.10001
1.8995,224,0.1
1.8995,225,0.1
1.8995,226,0.1
1.8995,227,0.1
1.8995,228,0.1
1.8995,229,0.1
1.8995,230,0.1
1.8995,231,0.1
1.8995,232,0.1
1.8995,233,0.1
1.8995,234,0.1
1.8995,235,0.1
1.8995,236,0.1
1.8995,237,0.1
1.8995,238,0.1
1.8995,239,0.1
1.8995,240,0.1
1.8995,241,0.1
1.8995,242,0.1
1.8995,243,0.1
1.8995,244,0.1
1.8995,245,0.1
1.8995,246,0.1
1.8995,247,0.1
1.8995,248,0.1
1.8995,249,0.1
1.8995,250,0.1
1.8995,251,0.1
1.8995,252,0.1
1.8995,253,0.1
1.8995,254,0.1
1.8995,255,0.1
1.8995,256,0.1
1.8995,257,0.1
1.8995,258,0.1
1.8995,259,0.1
1.8995,260,0.1
1.8995,261,0.1
1.8995,262,0.1
1.8995,263,0.1
1.8995,264,0.1
1.8995,265,0.1
1.8995,266,0.1
1.8995,267,0.1
1.8995,268,0.1
1.8995,269,0.1
1.8995,270,0.1
1.8995,271,0.1
1.8995,272,0.1
1.8995,273,0.1
1.8995,274,0.1
1.8995,275,0.1
1.8995,276,0.1
1.8995,277,0.1
1.8995,278,0.1
1.8995,279,0.1
1.8995,280,0.1
1.8995,281,0.1
1.8995,282,0.1
1.8995,283,0.1
1.8995,284,0.1
1.8995,285,0.1
1.8995,286,0.1
1.8995,287,0.1
1.8995,288,0.1
1.8995,289,0.1
1.8995,290,0.1
1.8995,291,0.1
1.8995,292,0.1
1.8995,293,0.1
1.8995,294,0.1
1.8995,295,0.1
1.8995,296,0.1
1.8995,297,0.1
1.8995,298,0.1
1.8995,299,0.1
1.8995,300,0.1
1.8995,301,0.1
1.8995,302,0.1
1.8995,303,0.1
1.8995,304,0.1
1.8995,305,0.1
1.8995,306,0.1
1.8995,307,0.1
1.8995,308,0.1
1.8995,309,0.1
1.8995,310,0.1
1.8995,311,0.1
1.8995,312,0.1
1.8995,313,0.1
1.8995,314,0.1
1.8995,315,0.1
1.8995,316,0.1
1.8995,317,0.1
1.8995,318,0.1
1.8995,319,0.1
1.8995,320,0.1
1.8995,321,0.1
1.8995,322,0.1
1.8995,323,0.1
1.8995,324,0.1
1.8995,325,0.1
1.8995,326,0.1
1.8995,327,0.1
1.8995,328,0.1
1.8995,329,0.1
1.8995,330,0.1
1.8995,331,0.1
1.8995,332,0.1
1.8995,333,0.1
1.8995,334,0.1
1.8995,335,0.1
1.8995,336,0.1
1.8995,337,0.1
1.8995,338,0.1
1.8995,339,0.1
1.8995,340,0.1
1.8995,341,0.1
1.8995,342,0.1
1.8995,343,0.1
1.8995,344,0.1
1.8995,345,0.1
1.8995,346,0.1
1.8995,347,0.1
1.8995,348,0.1
1.8995,349,0.1
1.8995,350,0.1
1.8995,351,0.1
1.8995,352,0.1
1.8995,353,0.1
1.8995,354,0.1
1.8995,355,0.1
1.8995,356,0.1
1.8995,357,0.1
1.8995,358,0.1
1.8995,359,0.1
1.8995,360,0.1
1.8995,361,0.1
1.8995,362,0.1
1.8995,363,0.1
1.8995,364,0.1
1.8995,365,0.1
1.8995,366,0.1
1.8995,367,0.1
1.8995,368,0.1
1.8995,369,0.1
1.8995,370,0.1
1.8995,371,0.1
1.8995,372,0.1
1.8995,373,0.1
1.8995,374,0.1
1.8995,375,0.1
1.8995,376,0.1
1.8995,377,0.1
